chr1	11166592	11167557	MTOR	E58	4085	714	965	0.7398964
chr1	11199361	11199492	MTOR	E36	8657	131	131	1.0000000
chr1	11199590	11199715	MTOR	E35	8752	125	125	1.0000000
chr1	11204705	11204812	MTOR	E34	5152	107	107	1.0000000
chr1	11259315	11259460	MTOR	E28	9448	145	145	1.0000000
chr1	26772807	26772923	DHDDS	E5	0	0	116	0.0000000
chr1	162749902	162757195	DDR2	E18	9923	635	7293	0.0870698
chr1	204518241	204527248	MDM4	E11	20592	1004	9007	0.1114689
chr2	29293460	29297389	PCARE	E1	0	0	3929	0.0000000
chr3	10145621	10146466	FANCD2OS	E2	2	235	845	0.2781065
chr3	10149699	10149939	FANCD2OS	E1	0	0	240	0.0000000
chr3	37026534	37034622	EPM2AIP1	E1	3	74	8088	0.0091494
chr3	37048482	37048554	MLH1	E5	2874	72	72	1.0000000
chr3	142496474	142496605	TRPC1	E5	0	0	131	0.0000000
chr3	142499676	142499871	TRPC1	E6	0	0	195	0.0000000
chr3	142522819	142523020	TRPC1	E11	0	0	201	0.0000000
chr4	1801474	1801539	FGFR3	E4	4220	65	65	1.0000000
chr4	1803094	1803263	FGFR3	E5	10378	169	169	1.0000000
chr4	1803562	1803752	FGFR3	E7	9711	190	190	1.0000000
chr4	1805419	1805563	FGFR3	E8	6575	144	144	1.0000000
chr4	1806057	1806247	FGFR3	E9	7030	190	190	1.0000000
chr4	1806551	1806696	FGFR3	E10	7179	145	145	1.0000000
chr4	1807082	1807203	FGFR3	E11	7005	121	121	1.0000000
chr4	1807286	1807396	FGFR3	E12	6333	110	110	1.0000000
chr4	25664327	25664464	SLC34A2	E3	0	0	137	0.0000000
chr4	25665824	25665952	SLC34A2	E4	5092	128	128	1.0000000
chr4	55095460	55095582	PDGFRA	E1	0	0	122	0.0000000
chr5	218435	218533	SDHA	E1	4468	98	98	1.0000000
chr5	224475	224636	SDHA	E3	6672	161	161	1.0000000
chr5	225534	225677	SDHA	E4	6370	143	143	1.0000000
chr5	225998	226162	SDHA	E5	10452	164	164	1.0000000
chr5	228300	228448	SDHA	E6	8460	148	148	1.0000000
chr5	230991	231115	SDHA	E7	8485	124	124	1.0000000
chr5	233592	233760	SDHA	E8	9691	168	168	1.0000000
chr5	235259	235454	SDHA	E9	10040	195	195	1.0000000
chr5	236543	236714	SDHA	E10	9865	171	171	1.0000000
chr5	240473	240591	SDHA	E11	5493	118	118	1.0000000
